"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
15,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-10T18:23:07.467815Z",3716702,58.065,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:23:07.467815Z","","","","",""
16,"1","Все исправили ","2025-05-10T18:23:13.667440Z",3726842,4.914,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:23:13.667440Z","","","","",""
17,"1","спасибо за оперативную работу ","2025-05-10T18:23:22.411257Z",3745025,6.609,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T18:23:22.411257Z","","","","",""
18,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-10T18:23:43.844215Z",3749719,20.267,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:23:43.844215Z","","","","",""
19,"1","спасибо большое! теперь не скрипят ","2025-05-10T18:23:57.846007Z",3751364,10.831,5,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:23:57.846007Z","","","","",""
20,"1","спасибо","2025-05-10T18:24:00.247712Z",3766183,1.382,5,"Вопрос решен","2025-05-10T18:24:00.247712Z","","","","",""
21,"1","Спасибо!","2025-05-10T18:24:03.093919Z",3770102,1.956,5,"Вопрос решен","2025-05-10T18:24:03.093919Z","","","","",""
22,"1","Норм","2025-05-10T18:24:13.028592Z",3773834,7.053,1,"Вопрос решен","2025-05-10T18:24:13.028592Z","","","","",""
23,"1","спасибо. все прошло очень хорошо","2025-05-10T18:24:23.311071Z",3791959,8.066,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:24:23.311071Z","","","","",""
24,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-10T18:25:13.432542Z",3797804,47.878,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:25:13.432542Z","","","","",""
25,"1","Все очень оперативно ","2025-05-10T18:25:29.522497Z",3799741,14.759,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:25:29.522497Z","","","","",""
26,"1","Огромное спасибо.","2025-05-10T18:25:35.017531Z",3802024,4.386,5,"Вопрос решен","2025-05-10T18:25:35.017531Z","","","","",""
27,"1","Все отлично! Спасибо.","2025-05-10T18:25:47.146191Z",3805876,8.072,5,"Вопрос решен","2025-05-10T18:25:47.146191Z","","","","",""
28,"1","Хороший мастер","2025-05-10T18:26:17.243345Z",3812092,15.109,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:26:17.243345Z","","","","",""
29,"1","Спасибо за оперативность! 
","2025-05-10T18:27:39.835941Z",3815412,67.524,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T18:27:39.835941Z","","","","",""
30,"1","выполнена

","2025-05-10T18:28:09.174849Z",3820641,27.51,5,"Вопрос решен","2025-05-10T18:28:09.174849Z","","","","",""
31,"1","Все супер, Мастер 👍","2025-05-10T18:29:29.941798Z",3828569,23.729,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:29:29.941798Z","","","","",""
32,"1","Благодарю ребят.","2025-05-10T18:29:45.292627Z",3829748,4.469,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:29:45.292627Z","","","","",""
33,"1","Спасибо большое ","2025-05-10T18:29:53.724439Z",3831509,2.321,5,"Вопрос решен","2025-05-10T18:29:53.724439Z","","","","",""
34,"1","спасибо","2025-05-10T18:29:58.293741Z",3831883,3.72,5,"Вопрос решен","2025-05-10T18:29:58.293741Z","","","","",""
35,"1","Спасибо!","2025-05-10T18:30:03.245079Z",3832952,3.213,5,"Вопрос решен","2025-05-10T18:30:03.245079Z","","","","",""
36,"1","Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!","2025-05-10T18:32:03.107889Z",3834081,36.167,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:32:03.107889Z","","","","",""
37,"1","Благодарю за проделанную работу! ","2025-05-10T18:36:28.648920Z",3835748,264.441,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:36:28.648920Z","","","","",""
38,"1","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-10T18:38:41.256414Z",3835874,130.544,5,"Вопрос решен","2025-05-10T18:38:41.256414Z","","","","",""
39,"1","Спасибо, всё чётко.","2025-05-10T18:38:50.745771Z",3839647,7.808,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:38:50.745771Z","","","","",""
40,"1","Благодарю ","2025-05-10T18:39:35.003711Z",3840353,11.336,5,"Вопрос решен","2025-05-10T18:39:35.003711Z","","","","",""
41,"1","Спасибо Сергей ! ))))","2025-05-10T18:39:42.278850Z",3841026,5.285,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:39:42.278850Z","","","","",""
42,"1","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-10T18:40:24.379468Z",3842440,38.349,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:40:24.379468Z","","","","",""
43,"1","хоть что то сделали 👍👏","2025-05-10T18:40:39.261647Z",3842790,2.704,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:40:39.261647Z","","","","",""
44,"1","спасибо)","2025-05-10T18:41:13.104494Z",3843760,12.651,5,"Вопрос решен","2025-05-10T18:41:13.104494Z","","","","",""
45,"1","профессионально, быстро. очень приятный мастер","2025-05-10T18:41:19.529479Z",3844645,4.682,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:41:19.529479Z","","","","",""
46,"1","спасибо! ","2025-05-10T18:41:22.663321Z",3846820,1.751,5,"Вопрос решен","2025-05-10T18:41:22.663321Z","","","","",""
47,"1","Спасибо, вопрос решили, всё стало нормально ","2025-05-10T18:41:36.118284Z",3846831,6.525,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:41:36.118284Z","","","","",""
48,"1","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-10T18:41:41.797750Z",3848236,3.697,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:41:41.797750Z","","","","",""
49,"1","спасибо! ","2025-05-10T18:41:58.603232Z",3850021,14.586,5,"Вопрос решен","2025-05-10T18:41:58.603232Z","","","","",""
50,"1","спасибо за  быстрый ответ! 


","2025-05-10T18:42:16.384997Z",3850118,25.167,1,"Нравится скорость отработки заявок","2025-05-10T18:42:51.911606Z","","","","",""
51,"1","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-10T18:43:08.567042Z",3852179,15.385,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:43:08.567042Z","","","","",""
52,"1","спасибо!)","2025-05-10T18:43:27.839187Z",3852743,1.731,5,"Вопрос решен","2025-05-10T18:43:27.839187Z","","","","",""
53,"1","спасибо ","2025-05-10T18:43:32.890374Z",3852975,2.69,5,"Вопрос решен","2025-05-10T18:43:32.890374Z","","","","",""
54,"1","Все отлично ","2025-05-10T18:43:38.461712Z",3854073,3.914,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:43:38.461712Z","","","","",""
55,"1","свершилось","2025-05-10T18:43:49.173584Z",3856028,7.591,1,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:43:49.173584Z","","","","",""
56,"1","Спасибо мастеру ","2025-05-10T18:44:06.977971Z",3859764,12.997,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:44:06.977971Z","","","","",""
57,"1","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-10T18:44:30.678579Z",3859780,22.311,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:44:30.678579Z","","","","",""
58,"1","Среагировали быстро, благодарю ","2025-05-10T18:44:46.383619Z",3860248,14.312,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:44:46.383619Z","","","","",""
59,"1","Спасибо за оперативность!","2025-05-10T18:45:30.025500Z",3860900,13.868,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:45:30.025500Z","","","","",""
60,"1","Отличный мастер!","2025-05-10T18:46:10.113324Z",3862448,10.081,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:46:10.113324Z","","","","",""
61,"1","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-10T18:46:16.412908Z",3863351,4.595,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:46:16.412908Z","","","","",""
62,"1","Быстро ","2025-05-10T18:46:19.987559Z",3863609,1.832,5,"Вопрос решен","2025-05-10T18:46:19.987559Z","","","","",""
63,"1","Спасибо за своевременное выполнение заявки...","2025-05-10T18:46:33.217193Z",3866829,11.653,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:46:33.217193Z","","","","",""
64,"1","все сделали быстро. спасибо ","2025-05-10T18:46:44.236844Z",3866867,10.007,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:46:44.236844Z","","","","",""
65,"1","всё отлично 👍","2025-05-10T18:47:01.136483Z",3868883,9.486,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:47:01.136483Z","","","","",""
66,"1","Спасибо ","2025-05-10T18:47:09.291926Z",3871379,6.885,5,"Вопрос решен","2025-05-10T18:47:09.291926Z","","","","",""
67,"1","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-10T18:47:29.910132Z",3872124,18.561,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:47:29.910132Z","","","","",""
68,"1","благодарю ","2025-05-10T18:47:59.215827Z",3872129,27.868,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:47:59.215827Z","","","","",""
69,"1","оперативно и качественно. спасибо ","2025-05-10T18:48:09.589713Z",3873692,7.289,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:48:09.589713Z","","","","",""
70,"1","Спасибо!","2025-05-10T18:48:14.775414Z",3874941,3.475,5,"Вопрос решен","2025-05-10T18:48:14.775414Z","","","","",""
71,"1","благодарю, всего доброго!","2025-05-10T18:48:43.127221Z",3875262,27.087,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:48:43.127221Z","","","","",""
72,"1","спасибо","2025-05-10T18:49:00.240336Z",3876790,13.802,5,"Вопрос решен","2025-05-10T18:49:00.240336Z","","","","",""
73,"1","Спасибо ","2025-05-10T18:49:06.388543Z",3876998,2.242,5,"Вопрос решен","2025-05-10T18:49:06.388543Z","","","","",""
74,"1","Спасибо большое! ","2025-05-10T18:49:18.159129Z",3877186,8.179,5,"Вопрос решен","2025-05-10T18:49:18.159129Z","","","","",""
75,"1","Спасибо!","2025-05-10T18:49:22.794417Z",3877315,1.936,5,"Вопрос решен","2025-05-10T18:49:22.794417Z","","","","",""
76,"1","К мастеру вопросов нет.  ","2025-05-10T18:49:38.091521Z",3877334,12.611,3,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:49:38.091521Z","","","","",""
77,"1","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-10T18:50:27.053611Z",3877901,46.529,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:50:27.054634Z","","","","",""
78,"1","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-10T18:50:41.619846Z",3878088,12.45,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:50:41.619846Z","","","","",""
79,"1","спасибо большое! надолго ли🙄","2025-05-10T18:50:53.786551Z",3878555,10.261,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:50:53.786551Z","","","","",""
80,"1","Огромное спасибо! ","2025-05-10T18:50:56.850084Z",3878808,1.528,5,"Вопрос решен","2025-05-10T18:50:56.850084Z","","","","",""
81,"1","Всё очень четко организовано! Большое спасибо за работу!","2025-05-10T18:51:17.670495Z",3879856,18.24,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:51:17.670495Z","","","","",""
82,"1","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-10T18:52:37.145821Z",3880345,78.455,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:52:37.145821Z","","","","",""
83,"1","снимаю звезду за первую отписку без выполнения работ","2025-05-10T18:53:03.571723Z",3880717,24.976,3,"не относится ни к одному из пунктов","2025-05-10T18:53:03.571723Z","","","","",""
84,"1","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-10T18:54:06.545743Z",3881004,60.599,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:54:06.545743Z","","","","",""
85,"1","Спасибо!","2025-05-10T18:54:13.882498Z",3881432,4.174,5,"Вопрос решен","2025-05-10T18:54:13.882498Z","","","","",""
86,"1","Спасибо! Все заработало ","2025-05-10T18:54:24.332768Z",3881460,9.368,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:54:24.332768Z","","","","",""
87,"1","спасибо, решили мой вопрос на месте в офисе ","2025-05-10T18:54:46.772375Z",3881636,20.325,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:54:46.772375Z","","","","",""
88,"1","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-10T18:55:35.738579Z",3882840,44.329,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:55:35.738579Z","","","","",""
89,"1","Спасибо ","2025-05-10T18:56:08.208475Z",3883049,30.788,5,"Вопрос решен","2025-05-10T18:56:08.208475Z","","","","",""
90,"1","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-10T18:56:20.898327Z",3883200,10.789,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:56:20.898327Z","","","","",""
91,"1","Спасибо","2025-05-10T18:56:32.806047Z",3883457,8.392,5,"Вопрос решен","2025-05-10T18:56:32.806047Z","","","","",""
92,"1","Супер! Спасибо!","2025-05-10T18:56:43.875914Z",3883549,9.377,5,"Вопрос решен","2025-05-10T18:56:43.875914Z","","","","",""
93,"1","Отлично! Все выполнили как и обещали! ","2025-05-10T18:56:49.420577Z",3883658,4.118,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:56:49.420577Z","","","","",""
94,"1","Очень оперативно. Спасибо большое ","2025-05-10T18:57:15.135591Z",3883736,23.48,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:57:15.135591Z","","","","",""
95,"1","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-10T18:57:39.493781Z",3883745,21.835,5,"{""choices"":[""Нравится качество выполнения заявки"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:57:39.493781Z","","","","",""
96,"1","Спасибо","2025-05-10T18:58:16.420043Z",3883823,3.608,5,"Вопрос решен","2025-05-10T18:58:16.420043Z","","","","",""
97,"1","спасибо","2025-05-10T18:58:22.722737Z",3884514,2.833,5,"Вопрос решен","2025-05-10T18:58:22.722737Z","","","","",""
98,"1","Спасибо ","2025-05-10T18:58:25.531209Z",3884705,1.607,5,"Вопрос решен","2025-05-10T18:58:25.531209Z","","","","",""
99,"1","Умело подкрутили редукторы давления. Молодец!","2025-05-10T18:58:34.345956Z",3884964,7.24,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:58:34.345956Z","","","","",""
100,"1","все хорошо,дверь практически бесшумно закрывается","2025-05-10T18:58:45.666619Z",3885089,8.618,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T18:58:45.666619Z","","","","",""
101,"1","Спасибо ","2025-05-10T18:59:13.159482Z",3885291,25.092,5,"Вопрос решен","2025-05-10T18:59:13.159482Z","","","","",""
102,"1","спасибо)","2025-05-10T18:59:19.714843Z",3885807,4.244,5,"Вопрос решен","2025-05-10T18:59:19.714843Z","","","","",""
103,"1","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-10T18:59:39.698458Z",3886150,18.134,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}","2025-05-10T18:59:39.698458Z","","","","",""
104,"1","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-10T18:59:48.936960Z",3886231,7.7,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:59:48.936960Z","","","","",""
105,"1","Работает. Спасибо!","2025-05-10T18:59:53.055987Z",3886721,3.137,5,"Вопрос решен","2025-05-10T18:59:53.055987Z","","","","",""
106,"1","сегодня ездил, все исправно работает, спасибо!","2025-05-10T18:59:59.161063Z",3886923,4.217,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T18:59:59.161063Z","","","","",""
107,"1","Спасибо большое, всё понятно.","2025-05-10T19:00:20.220772Z",3886937,20.13,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:00:20.220772Z","","","","",""
108,"1","Татьяна спасибо ❤️","2025-05-10T19:00:31.754009Z",3887002,3.232,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T19:00:31.754009Z","","","","",""
109,"1","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-10T19:01:14.842786Z",3887203,40.964,5,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}","2025-05-10T19:01:14.842786Z","","","","",""
110,"1","Большое спасибо!","2025-05-10T19:01:23.920682Z",3887228,6.844,5,"Вопрос решен","2025-05-10T19:01:23.920682Z","","","","",""
111,"1","Лучший ","2025-05-10T19:02:02.799949Z",3887353,20.022000000000002,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T19:02:20.934365Z","","","","",""
112,"1","спасибо за оперативность ","2025-05-10T19:04:17.278936Z",3887358,114.476,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Вопрос решен""]}","2025-05-10T19:04:17.278936Z","","","","",""
113,"1","спасибо ","2025-05-10T19:04:21.678047Z",3887389,2.449,5,"Вопрос решен","2025-05-10T19:04:21.678047Z","","","","",""
114,"1","спасибо за то что быстро отреагировали","2025-05-10T19:04:31.807344Z",3887392,10.885,5,"Нравится скорость отработки заявок","2025-05-10T19:04:36.477465Z","","","","",""
115,"1","Сервис на высоте, мастер - профессионал","2025-05-10T19:04:46.843176Z",3887422,8.868,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:04:46.843176Z","","","","",""
116,"1","спасибо","2025-05-10T19:05:24.834285Z",3887496,1.972,5,"Вопрос решен","2025-05-10T19:05:24.834285Z","","","","",""
117,"1","спасибо большое","2025-05-10T19:05:27.518137Z",3887525,1.763,5,"Вопрос решен","2025-05-10T19:05:27.518137Z","","","","",""
118,"1","ок ","2025-05-10T19:05:31.378341Z",3887606,2.674,1,"не относится ни к одному из пунктов","2025-05-10T19:05:31.378341Z","","","","",""
119,"1","Надолго ли(","2025-05-10T19:05:35.679700Z",3887614,3.101,2,"не относится ни к одному из пунктов","2025-05-10T19:05:35.679700Z","","","","",""
120,"1","Надолго ли(","2025-05-10T19:05:42.329637Z",3887616,1.905,2,"не относится ни к одному из пунктов","2025-05-10T19:05:42.329637Z","","","","",""
121,"1","Спасибо. Все работает","2025-05-10T19:06:00.331803Z",3887743,20.609,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:06:04.980238Z","","","","",""
122,"1","Спасибо большое!","2025-05-10T19:06:13.489658Z",3887791,20.320999999999998,5,"Вопрос решен","2025-05-10T19:06:32.443935Z","","","","",""
123,"1","Спасибо!","2025-05-10T19:06:36.682086Z",3887832,3.538,5,"Вопрос решен","2025-05-10T19:06:36.682086Z","","","","",""
124,"1","заявка выполнена, спасибо.","2025-05-10T19:06:44.800982Z",3887844,6.745,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:06:44.800982Z","","","","",""
125,"1","Дверь закрывается намного лучше.","2025-05-10T19:06:52.965215Z",3887922,7.137,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T19:06:52.965215Z","","","","",""
126,"1","Спасибо за быстрое реагирование!!!","2025-05-10T19:07:03.933780Z",3888009,9.122,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T19:07:03.933780Z","","","","",""
127,"1","Оперативно сработали, благодарю.","2025-05-10T19:07:23.810108Z",3888318,18.614,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-10T19:07:23.810108Z","","","","",""
128,"1","спасибо большое","2025-05-10T19:07:37.353436Z",3888320,2.771,5,"Вопрос решен","2025-05-10T19:07:37.353436Z","","","","",""
129,"1","Спасибо сантехнику Алексею, все сделано качественно ","2025-05-10T19:07:44.718976Z",3888354,4.224,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-10T19:07:44.718976Z","","","","",""
130,"1","Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!","2025-05-10T19:07:58.937326Z",3888539,12.032,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:07:58.937326Z","","","","",""
131,"1","Очень оперативно и никуда не пришлось ходить.","2025-05-10T19:08:27.632968Z",3888591,27.415,5,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-10T19:08:27.632968Z","","","","",""
